id,nama,kode,tingkat
191126,Aceh Barat,1105,2
191133,Aceh Barat Daya,1112,2
191127,Aceh Besar,1106,2
191135,Aceh Jaya,1114,2
100055,Aceh Selatan,1101,2
191131,Aceh Singkil,1110,2
191137,Aceh Tamiang,1116,2
191125,Aceh Tengah,1104,2
191123,Aceh Tenggara,1102,2
191124,Aceh Timur,1103,2
191129,Aceh Utara,1108,2
191138,Bener Meriah,1117,2
191132,Bireuen,1111,2
191134,Gayo Lues,1113,2
191140,Kota Banda Aceh,1171,2
191143,Kota Langsa,1174,2
191142,Kota Lhokseumawe,1173,2
191141,Kota Sabang,1172,2
191144,Kota Subulussalam,1175,2
191136,Nagan Raya,1115,2
191128,Pidie,1107,2
191139,Pidie Jaya,1118,2
191130,Simeulue,1109,2
191402,Badung,5103,2
191405,Bangli,5106,2
191407,Buleleng,5108,2
191403,Gianyar,5104,2
155006,Jembrana,5101,2
191406,Karangasem,5107,2
191404,Klungkung,5105,2
191408,Kota Denpasar,5171,2
191401,Tabanan,5102,2
191373,Kota Cilegon,3672,2
191374,Kota Serang,3673,2
191368,Kota Tangerang,3671,2
191375,Kota Tangerang Selatan,3674,2
191370,Lebak,3602,2
191369,Pandeglang,3601,2
191372,Serang,3604,2
191371,Tangerang,3603,2
191235,Bengkulu Selatan,1701,2
191243,Bengkulu Tengah,1709,2
191237,Bengkulu Utara,1703,2
191238,Kaur,1704,2
191242,Kepahiang,1708,2
191244,Kota Bengkulu,1771,2
191241,Lebong,1707,2
191240,Muko Muko,1706,2
191236,Rejang Lebong,1702,2
191239,Seluma,1705,2
191327,Bantul,3402,2
191328,Gunungkidul,3403,2
191330,Kota Yogyakarta,3471,2
143631,Kulon Progo,3401,2
191329,Sleman,3404,2
127558,Adm. Kep. Seribu,3101,2
191267,Kota Adm. Jakarta Barat,3173,2
191265,Kota Adm. Jakarta Pusat,3171,2
191268,Kota Adm. Jakarta Selatan,3174,2
191269,Kota Adm. Jakarta Timur,3175,2
191266,Kota Adm. Jakarta Utara,3172,2
191145,Boalemo,7502,2
191146,Bone Bolango,7503,2
178815,Gorontalo,7501,2
191148,Gorontalo Utara,7505,2
