id,nama,kode,tingkat
101710,Arongan Lambalek,110507,3
101692,Bubon,110506,3
101530,Johan Pahlawan,110501,3
100554,Kaway Xvi,110502,3
101764,Meureubo,110509,3
101738,Pante Ceureumen,110508,3
101843,Panton Reu,110512,3
101659,Samatiga,110505,3
101596,Sungai Mas,110503,3
101615,Woyla,110504,3
101791,Woyla Barat,110510,3
101816,Woyla Timur,110511,3
105161,Babah Rot,111206,3
105053,Blangpidie,111201,3
105186,Jeumpa,111208,3
105139,Kuala Batee,111205,3
105199,Lembah Sabil,111209,3
105090,Manggeng,111203,3
105176,Setia,111207,3
105109,Susoh,111204,3
105074,Tangan-tangan,111202,3
102429,Baitussalam,110620,3
102464,Blang Bintang,110623,3
102098,Darul Imarah,110607,3
102414,Darul Kamal,110619,3
102271,Darussalam,110612,3
101921,Indrapuri,110603,3
102172,Ingin Jaya,110610,3
102332,Kota Jantho,110615,3
102443,Krueng Barona Jaya,110621,3
102223,Kuta Baro,110611,3
102346,Kuta Cot Glie,110616,3
102379,Kuta Malaka,110617,3
102319,Lembah Seulawah,110614,3
102457,Leupung,110622,3
101892,Lhoknga,110602,3
101863,Lhoong,110601,3
102158,Mesjid Raya,110609,3
102022,Montasik,110605,3
102131,Peukan Bada,110608,3
102301,Pulo Aceh,110613,3
101974,Seulimeum,110604,3
102395,Simpang Tiga,110618,3
102062,Sukamakmur,110606,3
105480,Darul Hikmah,111408,3
105465,Indra Jaya,111407,3
105437,Jaya,111405,3
105386,Krueng Sabee,111402,3
104996,Panga,111406,3
105500,Pasie Raya,111409,3
105417,Sampoi Niet,111404,3
105234,Setia Bakti,111403,3
105363,Teunom,111401,3
100001,Bakongan,110101,3
100243,Bakongan Timur,110115,3
100031,Kluet Selatan,110103,3
100218,Kluet Tengah,110113,3
100233,Kluet Timur,110114,3
100009,Kluet Utara,110102,3
100260,Kota Bahagia,110117,3
100202,Labuhan Haji Barat,110112,3
100189,Labuhan Haji Timur,110111,3
100049,Labuhanhaji,110104,3
100068,Meukek,110105,3
100167,Pasi Raja,110110,3
100092,Samadua,110106,3
100121,Sawang,110107,3
100137,Tapaktuan,110108,3
100154,Trumon,110109,3
100271,Trumon Tengah,110118,3
100251,Trumon Timur,110116,3
104362,Danau Paris,111011,3
104318,Gunung Meriah,111006,3
104344,Kota Baharu,111009,3
104388,Kuala Baru,111014,3
104271,Pulau Banyak,111001,3
104393,Pulau Banyak Barat,111016,3
104275,Simpang Kanan,111002,3
104301,Singkil,111004,3
104354,Singkil Utara,111010,3
104381,Singkohor,111013,3
104369,Suro Makmur,111012,3
105927,Banda Mulia,111609,3
105938,Bandar Pusaka,111610,3
105785,Bendahara,111602,3
105819,Karang Baru,111603,3
105882,Kejuruan Muda,111606,3
105876,Kota Kualasinpang,111605,3
105748,Manyak Payed,111601,3
105909,Rantau,111608,3
105682,Sekerak,111612,3
105851,Seruway,111604,3
105899,Tamiang Hulu,111607,3
105954,Tenggulun,111611,3
101477,Atu Lintang,110418,3
101282,Bebesen,110403,3
101500,Bies,110420,3
101343,Bintang,110408,3
101440,Celala,110413,3
101489,Jagong Jeget,110419,3
101394,Kebayakan,110411,3
101368,Ketol,110410,3
101415,Kute Panang,110412,3
101458,Laut Tawar,110417,3
101221,Linge,110401,3
101311,Pegasing,110407,3
101513,Rusip Antara,110421,3
101248,Silih Nara,110402,3
100428,Babul Makmur,110206,3
100548,Babul Rahmah,110211,3
100381,Babussalam,110204,3
100409,Badar,110205,3
100347,Bambel,110203,3
100504,Bukit Tusam,110209,3
100450,Darul Hasanah,110207,3
100603,Deleng Pokhkisen,110213,3
100577,Ketambe,110212,3
100282,Lawe Alas,110201,3
100479,Lawe Bulan,110208,3
100311,Lawe Sigala-gala,110202,3
100626,Lawe Sumur,110214,3
100660,Leuser,110216,3
100528,Semadam,110210,3
100645,Tanoh Alas,110215,3
101077,Banda Alam,110315,3
100804,Birem Bayeun,110304,3
100684,Darul Aman,110301,3
101189,Darul Falah,110322,3
101172,Darul Ihsan,110321,3
100768,Idi Rayeuk,110303,3
101201,Idi Timur,110323,3
100223,Idi Tunong,110314,3
101038,Indra Makmu,110313,3
100730,Julok,110302,3
101011,Madat,110312,3
100850,Nurussalam,110306,3
100985,Pante Bidari,110311,3
101094,Peudawa,110316,3
101215,Peunaron,110324,3
100882,Peureulak,110307,3
101133,Peureulak Barat,110318,3
101112,Peureulak Timur,110317,3
100921,Rantau Selamat,110308,3
100961,Ranto Peureulak,110310,3
100832,Serbajadi,110305,3
101163,Simpang Jernih,110320,3
100936,Simpang Ulim,110309,3
101149,Sungai Raya,110319,3
103244,Baktiya,110801,3
103953,Baktiya Barat,110819,3
104106,Banda Baro,110826,3
103904,Cot Girek,110817,3
103302,Dewantara,110802,3
104094,Geuredong Pase,110825,3
103318,Kuta Makmur,110803,3
103929,Langkahan,110818,3
104058,Lapang,110823,3
103358,Lhoksukon,110804,3
103434,Matangkuli,110805,3
103509,Meurah Mulia,110807,3
103484,Muara Batu,110806,3
104020,Nibong,110821,3
103874,Nisam,110816,3
104116,Nisam Antara,110827,3
103980,Paya Bakong,110820,3
104070,Pirak Timur,110824,3
103560,Samudera,110808,3
103834,Sawang,110815,3
103601,Seunuddon,110809,3
104041,Simpang Kramat,110822,3
103635,Syamtalira Aron,110810,3
103670,Syamtalira Bayu,110811,3
103786,T. Jambo Aye,110814,3
103709,Tanah Luas,110812,3
103767,Tanah Pasir,110813,3
106042,Bandar,111704,3
106177,Bener Kelipah,111708,3
106078,Bukit,111705,3
106206,Gajah Putih,111710,3
106190,Mesidah,111709,3
105999,Permata,111702,3
105975,Pintu Rime Gayo,111701,3
106027,Syiah Utama,111703,3
106146,Timang Gajah,111707,3
106119,Wih Pesam,111706,3
104684,Gandapura,111107,3
104782,Jangka,111110,3
104542,Jeumpa,111104,3
104445,Jeunieb,111102,3
104745,Juli,111109,3
104894,Kota Juang,111113,3
104918,Kuala,111114,3
104567,Kuta Blang,111117,3
104656,Makmur,111106,3
104725,Pandrah,111108,3
104489,Peudada,111103,3
104871,Peulimbang,111112,3
104586,Peusangan,111105,3
104961,Peusangan Selatan,111116,3
104939,Peusangan Siblah Krueng,111115,3
104398,Samalanga,111101,3
104829,Simpang Mamplam,111111,3
105330,Blangjerango,111309,3
105214,Blangkejeren,111301,3
105297,Blangpegayon,111306,3
105320,Dabun Gelang,111308,3
105236,Kutapanjang,111302,3
105353,Pantan Cuaca,111311,3
105287,Pining,111305,3
105310,Puteri Betung,111307,3
105249,Rikit Gaib,111303,3
105263,Terangun,111304,3
105341,Teripe Jaya,111310,3
106447,Baiturrahman,117101,3
106515,Banda Raya,117107,3
106526,Jaya Baru,117108,3
106458,Kuta Alam,117102,3
106508,Kuta Raja,117106,3
106498,Lueng Bata,117105,3
106470,Meuraxa,117103,3
106487,Syiah Kuala,117104,3
106536,Ulee Kareng,117109,3
106657,Langsa Barat,117402,3
106699,Langsa Baro,117405,3
